id,name,partOf,locationType
OFFICE01000,HQ Eastern,Location/FTR01003,CRVS_OFFICE
OFFICE01001,Enuga District Office,Location/FTR01001,CRVS_OFFICE
OFFICE01002,Equinias District Office,Location/FTR01002,CRVS_OFFICE
OFFICE01003,Edo District Office,Location/FTR01003,CRVS_OFFICE
OFFICE01004,Ewunaka District Office,Location/FTR01004,CRVS_OFFICE
OFFICE02000,HQ Delta,Location/FTR02002,CRVS_OFFICE
OFFICE02001,Deyna District Office,Location/FTR02001,CRVS_OFFICE
OFFICE02002,Drealas District Office,Location/FTR02002,CRVS_OFFICE
OFFICE02003,Dinias District Office,Location/FTR02003,CRVS_OFFICE
OFFICE02004,Darkwa District Office,Location/FTR02004,CRVS_OFFICE
OFFICE03000,HQ Central,Location/FTR03001,CRVS_OFFICE
OFFICE03001,Ciwa District Office,Location/FTR03001,CRVS_OFFICE
OFFICE03002,Clopala District Office,Location/FTR03002,CRVS_OFFICE
OFFICE03003,Cwelula District Office,Location/FTR03003,CRVS_OFFICE
OFFICE03004,Calums District Office,Location/FTR03004,CRVS_OFFICE
OFFICE03005,Crepina District Office,Location/FTR03005,CRVS_OFFICE
OFFICE04000,HQ Bunego,Location/FTR04003,CRVS_OFFICE
OFFICE04001,Bepula District Office,Location/FTR04001,CRVS_OFFICE
OFFICE04002,Bolunwa District Office,Location/FTR04002,CRVS_OFFICE
OFFICE04003,Blecin District Office,Location/FTR04003,CRVS_OFFICE
OFFICE05000,HQ Avada,Location/FTR05002,CRVS_OFFICE
OFFICE05001,Austrinias District Office,Location/FTR05001,CRVS_OFFICE
OFFICE05002,Atrias District Office,Location/FTR05002,CRVS_OFFICE
OFFICE05003,Aduna District Office,Location/FTR05003,CRVS_OFFICE
OFFICE05004,Awima District Office,Location/FTR05004,CRVS_OFFICE
